#t_s,value
0.698000,-0.008969
0.699000,-0.004065
0.700000,0.000651
0.701000,0.005150
0.702000,0.009402
0.703000,0.013381
0.704000,0.017063
0.705000,0.020428
0.706000,0.023459
0.707000,0.026140
0.708000,0.028460
0.709000,0.030410
0.710000,0.031987
0.711000,0.033188
0.712000,0.034016
0.713000,0.034474
0.714000,0.034574
0.715000,0.034326
0.716000,0.033744
0.717000,0.032848
0.718000,0.031658
0.719000,0.030197
0.720000,0.028490
0.721000,0.026567
0.722000,0.024457
0.723000,0.022193
0.724000,0.019805
0.725000,0.017330
0.726000,0.014802
0.727000,0.012256
0.728000,0.009729
0.729000,0.007256
0.730000,0.004873
0.731000,0.002611
0.732000,0.000508
0.733000,-0.001408
0.734000,-0.003104
0.735000,-0.004554
0.736000,-0.005729
0.737000,-0.006608
0.738000,-0.007169
0.739000,-0.007393
0.740000,-0.007266
0.741000,-0.006777
0.742000,-0.005915
0.743000,-0.004676
0.744000,-0.003059
0.745000,-0.001065
0.746000,0.001301
0.747000,0.004029
0.748000,0.007106
0.749000,0.010517
0.750000,0.014243
0.751000,0.018262
0.752000,0.022547
0.753000,0.027072
0.754000,0.031804
0.755000,0.036712
0.756000,0.041758
0.757000,0.046907
0.758000,0.052119
0.759000,0.057356
0.760000,0.062574
0.761000,0.067734
0.762000,0.072793
0.763000,0.077711
0.764000,0.082443
0.765000,0.086951
0.766000,0.091196
0.767000,0.095138
0.768000,0.098742
0.769000,0.101973
0.770000,0.104798
0.771000,0.107189
0.772000,0.109118
0.773000,0.110563
0.774000,0.111501
0.775000,0.111918
0.776000,0.111798
0.777000,0.111133
0.778000,0.109918
0.779000,0.108150
0.780000,0.105832
0.781000,0.102968
0.782000,0.099571
0.783000,0.095654
0.784000,0.091234
0.785000,0.086335
0.786000,0.080979
0.787000,0.075196
0.788000,0.069018
0.789000,0.062480
0.790000,0.055618
0.791000,0.048473
0.792000,0.041086
0.793000,0.033504
0.794000,0.025769
0.795000,0.017929
0.796000,0.010032
0.797000,0.002126
0.798000,-0.005741
0.799000,-0.013520
0.800000,-0.021164
0.801000,-0.028626
0.802000,-0.035861
0.803000,-0.042823
0.804000,-0.049472
0.805000,-0.055767
0.806000,-0.061670
0.807000,-0.067147
0.808000,-0.072167
0.809000,-0.076699
0.810000,-0.080719
0.811000,-0.084207
0.812000,-0.087143
